p_value,U_n,p_erd,Naive,NonAdaptive,NaiveAdaptive,StochasticBalance,SemiAdaptative
random,20,0.2,0.36,0.45,0.62,0.55,0.49
random,20,sparse,0.6,0.54,0.36,0.48,0.54
random,20,highly,0.42,0.42,0.46,0.67,0.42
random,50,0.2,0.33,0.48,0.54,0.53,0.46
random,50,sparse,0.47,0.63,0.47,0.47,0.42
random,50,highly,0.39,0.42,0.56,0.58,0.47
random,150,0.2,0.27,0.44,0.51,0.51,0.43
random,150,sparse,0.46,0.46,0.53,0.54,0.47
random,150,highly,0.32,0.46,0.56,0.51,0.49
0.5,20,0.2,0.04,0.1,0.1,0.1,0.1
0.5,20,sparse,0.08,0.11,0.11,0.11,0.11
0.5,20,highly,0.05,0.1,0.1,0.1,0.1
0.5,50,0.2,0.03,0.1,0.1,0.1,0.1
0.5,50,sparse,0.07,0.09,0.09,0.09,0.09
0.5,50,highly,0.04,0.1,0.1,0.1,0.1
0.5,150,0.2,0.01,0.1,0.1,0.1,0.1
0.5,150,sparse,0.08,0.1,0.1,0.1,0.1
0.5,150,highly,0.04,0.1,0.1,0.1,0.1
0.1,20,0.2,0.25,0.42,0.5,0.5,0.4
0.1,20,sparse,0.31,0.47,0.5,0.53,0.41
0.1,20,highly,0.29,0.47,0.5,0.53,0.53
0.1,50,0.2,0.12,0.46,0.5,0.5,0.43
0.1,50,sparse,0.33,0.4,0.43,0.46,0.4
0.1,50,highly,0.23,0.45,0.5,0.5,0.47
0.1,150,0.2,0.07,0.44,0.5,0.5,0.45
0.1,150,sparse,0.36,0.45,0.47,0.42,0.41
0.1,150,highly,0.19,0.45,0.48,0.49,0.41
0.05,20,0.2,0.35,0.55,0.65,0.8,0.6
0.05,20,sparse,0.58,0.5,0.58,0.67,0.33
0.05,20,highly,0.32,0.53,0.47,0.79,0.58
0.05,50,0.2,0.32,0.54,0.96,1.0,0.76
0.05,50,sparse,0.59,0.52,0.62,0.76,0.59
0.05,50,highly,0.39,0.65,0.84,0.82,0.65
0.05,150,0.2,0.11,0.57,0.95,0.99,0.64
0.05,150,sparse,0.51,0.63,0.66,0.61,0.61
0.05,150,highly,0.39,0.65,0.84,0.89,0.61
