p_value,U_n,p_erd,Naive,NonAdaptive,NaiveAdaptive,StochasticBalance,SemiAdaptative
random,20,0.2,0.39,0.39,0.59,0.52,0.59
random,20,n,0.37,0.53,0.48,0.69,0.43
random,20,logn/n,0.35,0.46,0.5,0.57,0.43
random,50,0.2,0.28,0.39,0.55,0.55,0.47
random,50,n,0.36,0.45,0.48,0.41,0.53
random,50,logn/n,0.33,0.47,0.53,0.55,0.44
random,150,0.2,0.28,0.43,0.51,0.51,0.43
random,150,n,0.5,0.51,0.59,0.48,0.49
random,150,logn/n,0.32,0.44,0.52,0.42,0.49
0.5,20,0.2,0.04,0.1,0.1,0.1,0.1
0.5,20,n,0.07,0.08,0.08,0.08,0.08
0.5,20,logn/n,0.06,0.1,0.1,0.1,0.1
0.5,50,0.2,0.03,0.1,0.1,0.1,0.1
0.5,50,n,0.07,0.11,0.11,0.11,0.11
0.5,50,logn/n,0.05,0.1,0.1,0.1,0.1
0.5,150,0.2,0.01,0.1,0.1,0.1,0.1
0.5,150,n,0.07,0.09,0.09,0.09,0.09
0.5,150,logn/n,0.04,0.1,0.1,0.1,0.1
0.1,20,0.2,0.18,0.4,0.5,0.48,0.4
0.1,20,n,0.37,0.42,0.42,0.46,0.29
0.1,20,logn/n,0.2,0.45,0.48,0.45,0.42
0.1,50,0.2,0.13,0.44,0.49,0.5,0.43
0.1,50,n,0.34,0.43,0.41,0.38,0.43
0.1,50,logn/n,0.27,0.46,0.48,0.5,0.44
0.1,150,0.2,0.06,0.41,0.5,0.5,0.46
0.1,150,n,0.31,0.4,0.4,0.44,0.39
0.1,150,logn/n,0.22,0.44,0.49,0.49,0.43
0.05,20,0.2,0.4,0.65,0.85,0.7,0.5
0.05,20,n,0.64,0.64,0.82,0.64,0.55
0.05,20,logn/n,0.5,0.35,0.75,0.8,0.6
0.05,50,0.2,0.24,0.56,0.92,0.92,0.7
0.05,50,n,0.44,0.53,0.5,0.47,0.47
0.05,50,logn/n,0.42,0.65,0.75,0.88,0.58
0.05,150,0.2,0.11,0.63,0.95,0.95,0.61
0.05,150,n,0.54,0.66,0.66,0.67,0.64
0.05,150,logn/n,0.35,0.65,0.81,0.85,0.57
